"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Exchange Rate Risk: Heads or Tails","https://scispace.com/paper/exchange-rate-risk-heads-or-tails-xs4aeqarvs","2009","Posted Content","Research Papers in Economics","Ana-Maria Gavril
Moisa Altar","","https://scispace.com/pdf/exchange-rate-risk-heads-or-tails-xs4aeqarvs.pdf","More than forty years ago researchers started to reconsider the behavior of financial data. Since then, stylized facts about financial returns have become common knowledge in economics. Characteristics as fat-tailedness, leptokurtosis and serial dependence have been extensively analyzed. As the financial world became focused on risk management and prudential supervision, various risk models have been developed. However, the first generation of risk models is highly dependent on rough assumptions, empirically contradicted, but embraced by practitioners as they benefit from a fairly easy implementation. In the context of market risk, such a proxy was developed under the name of Value at Risk, which rapidly became a standard measure for both risk managers and supervisors. The current state of affairs brings us one step closer to the death of VaR. The need for a new approach is imperative. This paper aims to bring new evidence to the limited performance of Value at Risk and test the fit of Extreme Value Theory as a complementary risk management tool for stressed market conditions, in the context of exchange rate risk. We use exchange rate returns of four currencies against the Euro and analyze the relative performance of several VaR models and Extreme Value Theory, respectively. We show that in extreme market conditions, extreme measures are required, and that no single measure can perform proper for both the centre and the tails of an exchange rate distribution.","series Value at Risk: For our non-normal, skewed, leptokurtotic and stationary non-standardized series, we apply Value at Risk: Value at Risk framework for later comparison to VaR measures based on EVT models (extreme VaR). Value at Risk:
 We employ four VaR models: Historical Simulation (HS), Hybrid Historical Simulation (HHS), RiskMetrics EWMA with 0.94 decay factor for daily data and an EGARCH(1,1   In Section 5.3.4. we will test the performance of the VaR methods employed and compare it to the performance of EVT models. We will prove that with respect to extreme events prediction, standard VaR models are clearly outperformed by extreme VaR measures, which incorporate the results of Extreme Value Theory. Extreme Value Theory:
 Objective: compute possible losses that have not yet been historically observed. Extreme Value Theory:
 The first step in applying EVT is to explore the data . This is usually done by plotting QQ graphs and the distribution of mean excess, as discussed in Sections 4.  Because EVT is designed to analyze upper tails (positive values) of i.i.d. data, as stated before, we use positive standardized series to infer for upper tails and negative standardized series for lower tails. Extreme Value Theory:
 First, we plot the quantiles of our series against the quantiles of exponential distribution, to verify the existence of heavy tails. Because exponential distribution decays faster than power function type distributions, the plot of the series against exponential quantiles should be curved at the bottom/upper end in order to prove heavier tails. As shown in Appendix 8., judging from the concave departures from the straight line, our datasets appear to have fatter tails than the exponential distribution. We expect GBP series to have a smaller degree of fattailedness than the others as they appear to have only a small departure from the exponential. Extreme Value Theory:
 In Appendix 8 some of the last order statistics have been removed in order to analyze how much distortion they induce to the graphs. Judging by the tendency of the data in the tail of USD to describe a convex curve against the straight line, we also expect these series to be considerably less fat-tailed. Extreme Value Theory:
 Mean Excess (ME) plots in Appendix 9. generally show that for some threshold above 1%, the curves have an upward slope. Correspondently, data above that threshold will be approximated by a Generalized Pareto Distribution. Where the slopes are positive, GPD shape parameter will also be positive, i.e. the distributions are likely to be in the maximum domain of attraction (MDA) of the Fréchet (fat tailed). ME plots are generally unstable compared to the ideal case of an upward straight line, but in trend the graphs are positioned between the horizontal MEF of the exponential and the MEF of GPD, going towards infinity."
"Contagion risk in the Australian banking and property sectors.","https://scispace.com/paper/contagion-risk-in-the-australian-banking-and-property-w8zduo5d1j","2011","Journal Article","Journal of Banking and Finance","Amelia Pais
Philip A. Stork","10.1016/J.JBANKFIN.2010.05.012","https://scispace.com/pdf/contagion-risk-in-the-australian-banking-and-property-w8zduo5d1j.pdf","The Australian banking system emerged from the global crisis virtually unhurt, with most banks still profitable, adequately capitalized, and with AA credit ratings. Are there any risks or vulnerabilities in this success story? This paper analyzes Australia’s systemic banking risk and attempts to determine if this risk increased with the recent global crisis and whether this risk is related to the downturn experienced in the real estate market. We use extreme value theory to measure banks’ and property firms’ univariate Value at Risk, as well as multivariate intra-sector and inter-sector contagion risks. Of the 13 sectors analyzed, we find that the property sector exhibits the highest level of extremal dependence with the banking sector. The credit crisis significantly increased the probability of a bank or property firm crashing. Moreover, contagion risks significantly increased not only within the banking and property sectors, but also between those sectors.","600. The optimal block length is fixed at T 1/3 , following . The T-statistic may for instance be used to test for equality of the left and right tail index estimates (asymmetry test) or for structural temporal changes. Application of Extreme Value Theory:
 Although the α-estimate reflects the shape of the tail of the distribution, we need other yardsticks to measure the risk of a large fall in a share price. To that purpose we calculate the VaR and Expected Shortfall (ES) as follows: Application of Extreme Value Theory:
 In equation ( ) the VaR equals the maximum one-day fall in the share price one may expect in the p percent worst day. In equation ( ) the ES measures the expected size of the p percent worst day, an aspect on which the VaR contains no information. As we focus on the extreme events, i.e. when serious financial distress occurs, we set the probability p at a high level of, for instance, 99.9 percent. We refer to  for a recent example of an EVT-based estimate of the ES of a stock market index. Application of Extreme Value Theory:
 In addition to the above univariate risk assessment, we are also interested in the extremal linkage between Australian and New Zealand property firms and banks. We estimate multivariate extreme spillover risk, which determines how likely it is that the stock price of a bank or property firm crashes jointly with that of another bank or property firm. We build on the work of  and . For all stocks i = 1,..,N, the crash levels or extreme quantiles i Q are set at equal values, thus: Application of Extreme Value Theory:
 Where it V denotes the log first difference of the price change in stock i at time t, with i = 1, ..,N and t = 1,..,T. We impose equal probability levels across all bank and property stocks for reasons of comparability and parsimony. However, the crash levels i Q will in general have different values, as the marginal probability distribution functions { } ( ) Application of Extreme Value Theory:
 1 are stock specific. Further we define distress level return Application of Extreme Value Theory:
 such that any excess return is seen as a sign of extreme distress, albeit not necessarily a crash. The probability of variable V i exceeding tail value Application of Extreme Value Theory:
 . Because we use daily data, each stock will, on average, exceed its crash level i Q only once in every 1/p days and its distress level * i Q once in every p λ days. We derive the conditional distress (CD)-probability in stock i (for example a bank) given that stock m (for example a property firm) crashes as: Application of Extreme Value Theory:
 We refer to  who also use a probability-based EVT approach to measure extreme co-movements and extreme impacts in an application on foreign exchange spot rates. The CD-probability in equation ( ) may be estimated by a non-parametric count measure:"
"Conditional Extremes in Asymmetric Financial Markets","https://scispace.com/paper/conditional-extremes-in-asymmetric-financial-markets-4e3qb5uevj","2020","Journal Article","Journal of Business & Economic Statistics","Natalia Nolde
Jinyuan Zhang","10.1080/07350015.2018.1476248","https://scispace.com/pdf/conditional-extremes-in-asymmetric-financial-markets-4e3qb5uevj.pdf","The global financial crisis of 2007–2009 revealed the great extent to which systemic risk can jeopardize the stability of the entire financial system. An effective methodology to quantify s...","part of my graduate school experience. Doing projects with Celina have kept my mind sharp. I will always remember the passionate discussions with Kun Wangwork related or not.Their enthusiasm, curiosity and encouragement brought much fun to the study and research process. I have been very fortunate to be friend with so many incredible people in my department. Thanks for all of the wonderful conversations. They have enriched my life in graduate school. B.3 Summary statistics for cross-sectional CoVaR:
 Most of all, I would love to thank my family for all their love and encouragement. I am grateful for my mom. Her unfailing love and unconditional support in all of my pursuits are invaluable. I would like to thank Xi Kang for taking care of me when I suffer and for her understanding, faithful support, encouragement and patience. Introduction:
 In a wide range of applications, it is of interest to quantify how large movements in one variable affect another variable. Particularly, in finance and insurance, one is often concerned with the impact of a stock market crash on individual stocks, or with the impact of a large loss on one financial asset on other assets. One common approach to assess such influences is by considering conditional probabilities in which the conditioning event is extreme. Let (X, Y ) be a bivariate random vector, which can be interpreted as representing losses on two financial assets. The conditional probability η(x, y) := P(Y ≤ y|X > x), Introduction:
 (1.1) when x is large, can be seen as a measure of the effect the occurrence of a large loss on X exerts on the distribution of losses Y . When x and y in (1.1) are chosen as p-marginal quantiles, the limit of 1 − η(x, y), if it exists, as the quantile level p goes to one, is known as the (upper) tail dependence coefficient ). It is a widely used way to quantify extremal dependence in the presence of tail dependence, i.e., when the coefficient is strictly positive ). In finance, the tail dependence coefficient is often interpreted as a measure of financial contagion and plays a role in a variety of applications including risk management, derivative pricing and portfolio selection; see, e.g., , , ,  and . the second period, which is wildly recognized as financial crisis period. The difficulty to quantify this extreme dependence precisely via statistical estimation is various. Firstly, it is noted that for x large it becomes exceedingly difficult to estimate η(x, y) empirically as there are too few, if any, data points falling in the associated extremal region. On the other hand, parametric models fitted using the entire dataset are subject to undue influence of the central observations possibly compromising the fit in the tail regions. Such a fully parametric approach naturally gives rise to a significant model risk. An effective approach in situations dealing with extreme events is to rely on asymptotic models in the spirit of extreme value theory (EVT). The study of conditional extreme value models was initiated by , followed by  and , among others. Introduction:
 Similar to , we focus on the estimation of η(x, y) for x large but extend their methodology from the class of elliptical distributions to a more general framework of asymmetric models describing the stochastic behaviour of underlying tail risks."
"Modeling and Estimation of Market Risk Using Extreme Value Theory","https://scispace.com/paper/modeling-and-estimation-of-market-risk-using-extreme-value-182e1e67xe","2018","Journal Article","Mathematical theory and modeling","Sheillah Wanjala
George Otieno Orwa
Joel Koima
Joyce Jeptoo","","https://scispace.com/pdf/modeling-and-estimation-of-market-risk-using-extreme-value-182e1e67xe.pdf","Most commercial airline agencies have suffered losses due to extreme conditions like climatic conditions, price fluctuations and airline problems. One of these airline agencies that have experienced large losses is the Kenya Airways. This study assesses the market risk in the Kenyan stock market using Kenya Airways (KQ) share prices.  This paper helps an investor to weigh whether to invest in the company at a particular time or not. Due to the fluctuations and variations of share prices, the Extreme Value Theory has been used to capture the extreme and rare events. Extreme Value Theory provides a well-established statistical model for the computation of extreme risk measures which include; Value at Risk and Expected Shortfall. In this paper, Univariate Extreme Value Theory is applied to model extreme prices of shares for the Kenya airways in Kenyan market. This paper demonstrates how successful Extreme value theory can be applied in predicting future Value at Risk to the share prices. This provides solutions to the problems faced by the investors and the owners of the commercial agency in the market. This paper concentrates on the Peak over Threshold (POT) as the method of estimating Value at Risk. This technique models the distribution of extremes and  the distribution of exceedances over a certain high threshold rather than the individual observations. It concentrates on observations that exceed central limits, focusing on the tail of the distribution. Extreme value theory is also applied to compute the tail risk measures at given confidence interval. An overview of the Extreme Value Theory and Peaks Over Threshold Method are also given. This paper also shows that POT is the best method since the modeling the exceedances, they follow a generalized pareto distribution (GPD) which fits the sample losses very well. This technique of extreme value theory helps us to model and estimate the stock market risk of the Kenya airways since it helps us to assess the goodness of fit of the series and detect the outliers and also in estimation of the extreme quantiles.This study used the stock data which was obtained from the Nairobi stock exchange (NSE). With Generalized Pareto Distribution the estimates of value at risk and the expected shortfall for share prices indicate that with probability 5% the daily loss for the stock market prices exceeds 2.5105%, for 1% the daily loss exceeds 2.5330, for 0.5% the daily loss exceeds 2.5358 and for 0.1% the daily  loss exceeds 2.5380%. These results can be used to estimate risk measures in the stock market as well as providing insights to the managers of the airline and also as a reference for actual or potential investors in the airline industry. Keywords: Extreme Value Theory, Peak -Over Threshold (POT), Generalized Pareto Distribution (GPD), Value at Risk (VaR), Expected Shortfall (ES).","the higher the value of the shape parameter the heavier is the tail and the higher the derived quantile estimates and the corresponding prices. At this point quantile estimates and confidence intervals for a high quantiles above the threshold in a GPD are calculated. Computing VaR and ES using Extreme Value Theory Method:
 Using the threshold of 2, number of observations above the threshold as 70, total number of observations as 2863, Shape parameter as 0.3582, Scaling parameter as 0.2212 and varying confidence level, the results may be obtained as follows.  , with 5% confidence level the tomorrow's loss (left-tail) for the stock market prices to exceeds 2.5105. Analogously the same interpretation holds for 1%, 0.5% and 0.1%. Practically, when the stock price loss is known, then precautions can be taken to diminish it. 4.Conclusion:
 VaR estimates were obtained using Extreme Value Theory method. In the estimation of extreme quantiles, the distribution of excesses over a certain high threshold was based on Peak-Over-Threshold method which identified the starting point of the tail. After the excesses over a high threshold were fitted to the GPD, parameters were estimated which were used to estimate Value at Risk. The point estimates and interval estimates of VaR at 99.9% and 95% confidence intervals for the share prices were clearly shown and found to capture the financial Risks significantly since this method can estimate VaR outside the sampling interval. www.iiste.org ISSN 2224-5804 (Paper) ISSN 2225-0522 (Online) Vol.8, No.4, 2018 www.iiste.org ISSN 2224-5804 (Paper) ISSN 2225-0522 (Online) Vol.8, No.4, 2018 www.iiste.org ISSN 2224-5804 (Paper) ISSN 2225-0522 (Online) Vol.8, No.4, 2018 www.iiste.org ISSN 2224-5804 (Paper) ISSN 2225-0522 (Online) Vol.8, No.4, 2018 www.iiste.org ISSN 2224-5804 (Paper) ISSN 2225-0522 (Online) Vol.8, No.4, 2018"
"Quantifying Extreme Market Risk in the selected Western Balkan Countries","https://scispace.com/paper/quantifying-extreme-market-risk-in-the-selected-western-102k6s6hf6","2018","Journal Article","Industrija","Nikola Radivojević
Nikola Ćurčić
Marija Marčetić","10.5937/INDUSTRIJA46-16666","https://scispace.com/pdf/quantifying-extreme-market-risk-in-the-selected-western-102k6s6hf6.pdf","The purpose of this paper is to investigate the performance of unconditional and conditional Value at Risk (VaR) and Expected Shortfall (ES) models based on EVT. The application of one unconditional VaR and ES model based on EVT and three variants of conditional models of VaR and ES based on EVT in the capital markets of the selected WBC was tested in the paper. To test the VaR model, a conditional and unconditional cover test was used, with the note that their results were subject to verification using the Monte Carlo test procedure. The obtained results suggests that these models can be successfully used to quantify extreme market risk in selected markets, in the context of Basel standards. ES models have been tested and ranked using loss function. By using the Bootstrap simulation, these results are subject to verification. The obtained results does not reveal which model is most suitable for the selected markets, since they are differently ranked in different markets.","returns, without the need to make assumptions about the entire distribution of portfolio returns. In other words, EVT allows to assess the market risk associated with extreme events, or to determine the likelihood of extreme losses exceeding the defined threshold, using the following function: Extreme value theory:
 The estimation of market risk, which is associated with extreme losses with limited market data, is extremely difficult. It is becoming more and more difficult as extreme events are becoming increasingly rare. So one solution for risk estimation under these conditions is the use of an VaR models based on EVT. The advantage of these models in comparison with standard VaR models is precisely that they work directly with extreme losses and do not require assumptions about the entire distribution of portfolio returns. However, when using these models, one should bear in mind the constraints that the EVT paradigm imply. The EVT models are built on asymptotic arguments, so their application is limited when applied to a finite sample. In order to estimate the extreme risk, it use the result from asymptotic theory that for a sufficiently high threshold (u), Extreme value theory:
 . An approximation of F(x), for x > u can be obtained as: Extreme value theory:
 An estimate of F(u) can be obtained non-parametrically by means of the empirical cumulative distribution function: Extreme value theory:
 where are: k is the number of exceedances over the threshold (u) and (N) the number of observations. By substituting equation ( ) ) into equation (3) the following estimate for F(x) is obtained: Extreme value theory:
 ) and (   ) are the maximum likelihood estimators of (ξ) and (σ). Extreme value theory:
 This equation can be inverted to obtain a quantile of the underlying distribution, which is actually VaR. So, for ) Extreme value theory:
 where (k) represents the number of exceeding over the defined threshold (u), (σ) is the scale parameter and (n) the number of observations, or Extreme value theory:
 when the tail index (ξ) is estimated by the Hill estimator. Extreme value theory:
 Assuming that tail index (ξ) is less than 1, an ES-EVT estimate is obtained by using the following equation: Extreme value theory:
 To solve the problems of unconditional estimation VaR estimation based on the  were suggested a conditional quantile EVT model, which based on the assumption that the tail of the conditional distribution of the underlying GARCH process is approximated by a heavytailed distribution. The model can be written as follows way: Extreme value theory:
 Another limitation, which should be taken into account when using these models, is that the tail size, through the assessment of the tail index, affects the validity of the risk assessment.  present this problem as a balance between the accuracy of the variance and the bias of the tail estimation. When the tail is increased, the threshold is moved to the middle of the distribution and a larger number of data is obtained. This increases the accuracy and reduces the variation in tail estimation, but at the same time increases its bias because greater importance is attributed to the central observations in relation to the tail events. Conversely, when the tail size decreases. When the size of the tail decreases, the bias decreases, but the variance increases as the number of observations decreases. In order to determine the optimal tail size, the solutions were proposed in their papers  and Danielsson and de Vries (1997)."
"Efficient Estimation of Distributional Tail Shape and the Extremal Index with Applications to Risk Management","https://scispace.com/paper/efficient-estimation-of-distributional-tail-shape-and-the-3ypfpia2y6","2016","Journal Article","Journal of Mathematical Finance","Travis Sapp","10.4236/JMF.2016.64046","https://scispace.com/pdf/efficient-estimation-of-distributional-tail-shape-and-the-3ypfpia2y6.pdf","Abundant evidence indicates that financial asset returns are thicker-tailed than a normal distribution would suggest. The most negative outcomes which carry the potential to wreak financial disaster also tend to be the most rare and may fall outside the scope of empirical observation. The difficulty of modelling these rare but extreme events has been greatly reduced by recent advances in extreme value theory (EVT). The tail shape parameter and the extremal index are the fundamental parameters governing the extreme behavior of the distribution, and the effectiveness of EVT in forecasting depends upon their reliable, accurate estimation. This study provides a comprehensive analysis of the performance of estimators of both key parameters. Five tail shape estimators are examined within a Monte Carlo setting along the dimensions of bias, variability, and probability prediction performance. Five estimators of the extremal index are also examined using Monte Carlo simulation. A recommended best estimator is selected in each case and applied within a Value at Risk context to the Wilshire 5000 index to illustrate its usefulness for risk measurement.","manager's task of quantifying tail risk less difficult. The tail shape parameter ξ and the extremal index θ are the fundamental parameters governing the extreme behavior of the distribution, and the effectiveness of EVT in forecasting depends upon their reliable, accurate estimation. Conclusions:
 This study provides a comprehensive analysis of the performance of estimators of both key parameters in extreme value theory. I examine five prominent estimators for the tail shape parameter that have been proposed in the literature and find that of Dekkers, Einmahl, and de Haan  dominates the other four. I also examine five estimators for the extremal index that various authors have proposed and find that the Log Blocks estimator of Smith and Weissman  dominates the other four. These two estimators consistently performed well in terms of low bias, low RMSE, and insensitivity to distributional threshold definition. In addition to these metrics, an important requirement expected of a good estimator is that it does not return a false positive. This means it must be capable of detecting ξ = 0 in the case of the tail shape parameter, and θ = 1 in the case of the extremal index. In each respective case, the selected optimal estimator also fulfills this requirement. By providing a comprehensive comparison of all of these estimators across multiple metrics in one place, this paper fills a gap in the academic literature. Further, this study has also addressed the very practical question of which estimators would be optimal to actually use in an empirical setting, information of immediate usefulness to risk management practitioners. Conclusions:
 Some possible limitations of this study include the following two issues. First, as discussed in the appendix, pinning down the choice of the optimal block size for estimat-ing the extremal index is somewhat arbitrary. However, refinements to this choice will likely yield diminishing returns in highlighting differences between the estimators. A second possible limitation is that the data used in the simulations were generated from particular distributional forms: Student's t in the case of simulated data for the tail shape estimators, and a doubly stochastic process in the case of the extremal index. Although there is no reason to expect different results in estimator performance when applied to data from other underlying distributional forms, this is an open question that may be explored through future research."
"Bootstrap and empirical likelihood methods in extremes","https://scispace.com/paper/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7","2008","Journal Article","Extremes","Yongcheng Qi","10.1007/S10687-007-0049-8","https://scispace.com/pdf/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7.pdf","One of the major interests in extreme-value statistics is to infer the tail properties of the distribution functions in the domain of attraction of an extreme-value distribution and to predict rare events. In recent years, much effort in developing new methodologies has been made by many researchers in this area so as to diminish the impact of the bias in the estimation and achieve some asymptotic optimality in inference problems such as estimating the optimal sample fractions and constructing confidence intervals of various quantities. In particular, bootstrap and empirical likelihood methods, which have been widely used in many areas of statistics, have drawn attention. This paper reviews some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics.","extremes Authors: Yongcheng Qi Keywords: Bootstrap, Confidence interval, Empirical likelihood, Extremes, High quantile, Sample fraction, Tail index AMS 2000 Subject Classification 60G32, 62G09, 62G15 Introduction:
 It is a great pleasure for me to write this review paper in honor of Professor Laurens de Haan on the occasion of his 70th birthday. Introduction:
 Let F be a distribution function. If there exist constants a n > 0 and b n ∈ R and a non-degenerate distribution function G such that Introduction:
 (1.1) for all continuity points x of G, then we say that F is in the domain of attraction of the distribution G and denote F ∈ D(G). It is well known that the limiting distribution G must be of the type of one of the so-called extreme-value distributions: Introduction:
 where (1 + γ x) −1/γ is interpreted as e −x for γ = 0, and γ is called the tail index of F or the extreme-value index. For details, see, e.g., , or de . Introduction:
 In extreme-value statistics, many important characteristics of the underlying distribution F such as the tail index, high quantiles and endpoint are related to the tail behavior of the distribution. The estimation of these characteristics is very important in extreme value statistics, and it plays a central role in predicting rare events. Based on a few very large observations, various estimators for the extreme-value index, high quantiles and the endpoint have been proposed in the literature, and their asymptotic behaviors have been investigated; see, e.g., the Hill estimator  for the case γ > 0, Pickands estimator ) and moment estimator ) for general γ ∈ R, and moment-based estimators for high quantiles and the endpoint , to just mention a few. Introduction:
 In this paper we review some recent developments of bootstrap techniques and empirical likelihood methods in extreme-value statistics. The rest of the paper is organized as follows. In Section 2, we introduce some applications of bootstrap techniques in estimating optimal sample fractions in estimation problems (which is largely due to the contribution of Laurens de Haan and his collaborators) and in constructing confidence intervals for the extreme value indices. In particular, we will present bootstrap procedures for the Hill estimator and the moment estimator with some technical details. In Section 3 we demonstrate how to use empirical likelihood methods to construct confidence intervals for the tail index and high quantiles of a heavy-tailed distribution. Introduction:
 This review paper aims to give a clear picture about the applications of the aforementioned methods in extremes. It is not the author's intention if any contributions in these areas are omitted due to limited reference resources. Bootstrap Methods:
 The bootstrap is a data-driven method that has a very wide range of applications in statistics. Initiated by , the classic bootstrap approach uses Monte Carlo simulations to generate an empirical estimate for the sampling distribution of a statistic by randomly drawing a large number of samples of the same size n from the data, where n is the size of the sample under consideration."
"Estimation of Value-at-Risk and Expected Shortfall based on Nonlinear Models of Return Dynamics and Extreme Value Theory","https://scispace.com/paper/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr","2006","Journal Article","Studies in Nonlinear Dynamics and Econometrics","Carlos Martins-Filho
Feng Yao","10.2202/1558-3708.1304","https://scispace.com/pdf/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr.pdf","We propose an estimation procedure for value-at-risk (VaR) and expected shortfall (TailVaR) for conditional distributions of a time series of returns on a financial asset. Our approach combines a local polynomial estimator of conditional mean and volatility functions in a conditional heterocedastic autoregressive nonlinear (CHARN) model with Extreme Value Theory for estimating quantiles of the conditional distribution. We investigate the finite sample properties of our method and contrast them with alternatives, including the method recently proposed by McNeil and Frey (2000), in an extensive Monte Carlo study. The method we propose outperforms the estimators currently available in the literature. An evaluation based on backtesting was also performed.","Title: Studies in Nonlinear Dynamics & Econometrics Authors: Carlos Martins-Filho,Feng Yao (Corresponding Author) Introduction:
 The measurement of market risk to which financial institutions are exposed has become an important instrument for market regulators, portfolio managers and for internal risk control. As evidence of this growing importance, the Bank of International Settlements  has imposed capital adequacy requirements on financial institutions that are based on measurements of market risk. Furthermore, there has been a proliferation of risk measurement tools and methodologies in financial markets . Two quantitative and synthetic measures of market risk have emerged in the financial literature, Value-at-Risk or VaR  and Expected Shortfall or TailVaR . From a statistical perspective these risk measures have straightforward definitions. Let {Y t } be a stochastic process representing returns on a given portfolio, stock, bond or market index, where t indexes a discrete measure of time and F t denotes either the marginal or the conditional distribution (normally conditioned on the lag history {Y t−k } M ≥k≥1 , for some M = 1, 2, ...) of Y t . For 0 < α < 1, the α-VaR of Y t is simply the α-quantile associated with F t . 1 Expected shortfall is defined as E F y t (Y t ) where the expectation is taken with respect to F y t , the truncated distribution associated with Y t > y where y is a specified threshold level. When the threshold y is taken to be α-VaR, then we refer to α-TailVaR. Introduction:
 Accurate estimation of VaR and TailVaR depends crucially on the ability to estimate the tails of the probability density function f t associated with F t . Conceptually, this can be accomplished in two distinct ways: a) direct estimation of f t , or b) indirectly through a suitably defined (parametric) model for the tails of f t . Unless estimation is based on a correct specification of f t (up to a finite set of parameters), direct estimation will most likely provide a poor fit for its tails, since most observed data will likely take values away from the tail region of f t . As a result, a series of indirect estimation methods based on Extreme Value Theory (EVT) has recently emerged, including ,  and . These indirect methods are based on approximating only the tails of f t by an appropriately defined parametric density function. Introduction:
 In the case where f t is a conditional density associated with a stochastic process of returns on a financial asset, a particularly promising approach is the two stage estimation procedure for conditional VaR and TailVaR suggested by McNeil and Frey. They envision a stochastic process whose evolution can be described as,"
"Extreme value analysis of daily Canadian crude oil prices","https://scispace.com/paper/extreme-value-analysis-of-daily-canadian-crude-oil-prices-3l7citlw31","2010","Journal Article","Applied Financial Economics","Feng Ren
David E. A. Giles","10.1080/09603101003724323","https://scispace.com/pdf/extreme-value-analysis-of-daily-canadian-crude-oil-prices-3l7citlw31.pdf","Crude oil markets are highly volatile and risky. Extreme Value Theory (EVT), an approach to modelling and measuring risks under rare events, has seen a more prominent role in risk management in recent years. This article presents an application of EVT to the daily returns of crude oil prices in the Canadian spot market between 1998 and 2006. We focus on the Peak Over Threshold (POT) method by analysing the generalized Pareto-distributed exceedances over some high threshold. This method provides an effective means for estimating tail risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES). The estimates of risk measures computed under different high quantile levels exhibit strong stability across a range of the selected thresholds. At the 99th quantile, the estimates of VaR are approximately 6.3% and 6.8% for daily positive and negative returns, respectively.","of ES are a little larger in the left tail and more than 30 percent larger in the right tail. Noticeably, in our study, the left tail ES exceeds VaR by a slightly greater margin than the right rail ES exceeds VaR. Computation of Extreme Risk Measures:
 Researchers have conducted sound studies on the tail distribution modelling by applying some methods of univariate extreme value theory, especially in the financial field. An important argument is that the EVT approach well captures the features of the innovation distribution and can provide more accurate estimates of risk measures compared with other approaches (for example, , and one can obtain better estimates with the application of the GPD fitting of the excess distribution based on threshold models (for example, . This confirms our belief of choosing the POT method to apply the extreme value theory. Overall, the assessment of our results shows that the point and interval estimations are stable and reliable, implying that this approach of modelling extreme values can be used to further application of extreme events. Some studies, including , also claim that the upper and lower tails behave differently, and thus should be treated separately while estimating risk measures. Evidences from our empirical study show the small difference in risk statistics on both tails, implying that the thickness of two tails is likely to be similar. Conclusions:
 The high volatility of prices in oil markets requires the implementation of effective risk management. Extreme value theory is a powerful tool to estimate the effects of extreme events in risky markets based on sound statistical methodology. This study exhibits how EVT can be used to model tail-related risk measures such as Value-at-Risk and Expected Shortfall by applying it to the daily returns of crude oil prices in the Canadian spot market. Our application captures the heavy-tailed behaviour in daily returns and the asymmetric characteristics in distributions, suggesting us to treat positive and negative returns separately. An unconditional approach is favoured as no evidence indicates the existence of conditional heteroskedasticity in our sample data. In the context of applying EVT, the peak over threshold method provides a simple and effective means to choose thresholds and estimate parameters. By assessing empirical excess distribution functions and survival functions with associated theoretical distribution simulations, we find the goodness of fit in tail modelling. Furthermore, as the increase of the threshold, the fit is getting less precise for both gains and losses; at an either lower or higher threshold level, positive daily return series fits a GPD slightly better than negative one does. The point and interval estimates of VaR and ES computed under different high quantile levels exhibit strong stability through a range of the selected thresholds, implying the accuracy and reliability of the estimated quantile-based risk measures. Conclusions:
 Our EVT-based Value-at-Risk approach provides quantitative information for analyzing the extent of potential extreme risks in energy markets, particularly the crude oil markets. Conclusions:
 Interested organizations and corporations could employ this technique as one of the means of risk management. For those who invest in the Canadian crude oil market, our estimates of VaR and ES provide quantitative indicators for their investment decisions."
